id,nombre,categoria,img,descripcion,marca,codigos,medidas,presentaciones,cantidades
"aceite-multiusos-huzz-oil","Aceite Multiusos HUZZ OIL","Aceites y lubricantes","aceite-multiusos-huzz-oil.jpeg","ACEITE, MULTIUSOS, Lubricante de larga duración con tapa, dosificadora que permite una aplicación, precia y controlada del aceite, Sin salpicaduras., EI aceite multiusos HUCC es un excelente, limpiador de objetos metálicos y suciedad., Su propiedad de antioxidantes protege todas, las superficies tratadas contra las acciones., coser, herramienta de jardín, cañas de pescar,, etc.","HUZZ-OIL","","","90 ml",""
"aceites-multiusos-huzz-oil-linea","Aceites Multiusos HUZZ OIL Línea","Aceites y lubricantes","aceites-multiusos-huzz-oil-linea.jpeg","HUZZ-OIL, VALUPLAST„c, PARA, .uGuEres., ACEITES MULTIUSOS","HUZZ-OIL","","","",""
"cajas-de-pase-gi-tey","Cajas de Pase GI TEY","Eléctrico e iluminación","cajas-de-pase-gi-tey.jpeg","GI.TEY, CAJAS DE, Aislamiento eléctrico seguro.","GI-TEY","","","",""
"cajas-de-paso-electricas","Cajas de Paso Eléctricas","Eléctrico e iluminación","cajas-de-paso-electricas.jpeg","PASO, axbxc, 80mm x 80mm x 40mm, 100mm x 100mm x 70mm, 200mm x 150mm x 100mm, 200mm x 200mm x 80mm, 300mm x 250mm x 130mm, 300mm x 300mm x 160mm","","","80mm x 80mm x 40mm, 100mm x 100mm x 70mm, 200mm x 150mm x 100mm, 200mm x 200mm x 80mm, 300mm x 250mm x 130mm, 300mm x 300mm x 160mm","",""
"cajas-octogonales-gi-tey","Cajas Octogonales GI TEY","Eléctrico e iluminación","cajas-octogonales-gi-tey.jpeg","GI.TEY, (O CTAVOÑAÚES!, hREC, s/ Resistentes al impacto y la humedad., .../ Fáciles de instalar en muros de, s/ Material en PVC de alta calidad.","GI-TEY","","","",""
"canaleta-pvc-con-pegamento","Canaleta PVC con Pegamento","Eléctrico e iluminación","canaleta-pvc-con-pegamento.jpeg","Fabricada en PVC., s CHIBIRI, CANALETA DE, PVC CON, PEGAMENTO, ROJO, Incluye cinta de, doble contacto, Diseñada para la proteccion externa de las, Dieléctrica y resiste a impactos., 10x20","Schubirt","125002, 125003, 125007","","",""
"medidor-de-energia-monofasico-trifasico","Medidor de Energia Monofásico Trifásico","Eléctrico e iluminación","medidor-de-energia-monofasico-trifasico.jpeg","MEDIDOR, Monofásico y, trifásico., v/ Resistente al, GI-TEY","GI-TEY","","","",""
"modulos-ciegos-para-tableros","Módulos Ciegos Para Tableros","Eléctrico e iluminación","modulos-ciegos-para-tableros.jpeg","GI-TEY, IIMODULAREfiY, CIEGA, • Diseño innovador:, • Seguro y eficiente., • Material de altacalidad y","GI-TEY","","","",""
"tableros-electricos-visibles-y-empotrados","Tableros Eléctricos Visibles y Empotrados","Eléctrico e iluminación","tableros-electricos-visibles-y-empotrados.jpeg","TABLEROS, VISIBLES Y EMPOTRADOS, Tablero I llave - 2 polos visible PVC., Tablero 1 llave - 2 polos empotrado PVC., Tablero 1 llave trifásico - 3 polos empotrado PVC., Tablero 4 polos visible PVC., Tablero 2 llaves - 5 polos empotrado PVC., Tablero 4 llaves - 8 polos visible PVC., Tablero 4 llaves - 8 polos empotrado., Tablero 6 llaves - 12 polos visible PVC., Tablero 6 llaves - 12 polos empotrado PVC., Tablero 9 llaves - 18 polos empotrado.","","","","",""
"tomacorrientes-gi-tey","Tomacorrientes GI TEY","Eléctrico e iluminación","tomacorrientes-gi-tey.jpeg","GI.TEY, TOMACORRIENTES, Variedad de tamaños., • Apto para interiores y, exteriores:, ven asva uplas, il.co, ontáctan s","GI-TEY","","","",""
"tomacorrientes-y-cajas-de-luz","Tomacorrientes y Cajas de luz","Eléctrico e iluminación","tomacorrientes-y-cajas-de-luz.jpeg","TOMACORRIENTE, Tomacorriente, triple visible PVC, de 4 visible PVC, de 5 visible PVC, triple visible, de 4 visible, lación, resistente al impacto, resistente a la, corrección, resistencia al fuego, aislante de, descarga eléctricas., Conducción de baja o media tensión en in-, stalaciones eléctricas ocultas o visibles en, áreas industriales o subterráneas.","","","","",""
